entry,date,n_month,month,text
189,Wed July 10,07/1912,July,A really terrible day.. I became quite demorolized wandered around lying down and getting up and terribly depressed. Managed to finish and put up green curtain .. and tried taking bathafter break to get good tide but did not long for it though the water was exquisite. Could not help anxiety abou the three dear boys in Phila. Late in the aft Mr Hall came over to ask me to go out with them in the auto. This was a great relief and pleasant to be with them . It was cool doing this of course.  After sup and May and I trying to find a place to be possible from the mosks I went down to the studio and actually tried the piano feeling helplessly about and so longing to do it. May came down and my dreanings had to cease.. She WILL follow me about and I cant do anything.   I stopped and went out on the pier and soon saw a white trousered person go into the Halls and ring . Thought it was A.P.A.but it soon emerged with out waiting for the Halls to ans and I heard my name called.   It was Sl .. We both r rejoiced and the strain was over. I cannot remember long and his misdemeanors were not serious. We wandered till I got chilly.and of course I heard a few more details about A.P.A. I called them up at supper time to speak to Mrs A. he ans ..pleasant but I dont know what they are all thingking.. I shall do no more now.. Chas Grafly called up to say he cannot come to lunch but tells me he is expecting Joe Pennell. That will be amising.   A pleasant young plasterer has been at work today on the round window . and much deverted by my costumes tho striving to conceal it.
190,Thurs July 11,07/1912,July,Cooler and toward noon great thunderstorm .. We were in the midst and terrific claps . Nothing struck just here. I had come to life before and done some much needed garden work . tying up etc before.   There was no wind to speak of and sheets of rain three or four separate showers. I still hoped for Leila Mechlin for lunch but she did not come .. Telephone is down . Rest and reading Christophe but not much int.. Saw A going to call at the Halls. Sl in town. More and more rain what a blessing. .. Note from A Lud and a good letter from J.W. .. Is coming for the 28. I wrote to him in afB and the postman tokk mine when leaving his.   Tried to walk after sup alone but too muggy and came back to lie on rug till bed time.   J.W. does not take the view of A.P.A that we do. and I fear that this means that such business men as he feel the same way . O I hope it was not a mistake. I fear he felt too sure of himself.. He has brought down all before himtill now. I wrote and invited Lee McClung to come here to visit. It is funny to remember how A scorned him before.
191,Fri July 12,07/1912,July,Overcast and cool. I felt quite nifty and did a lot of vine work all the weeding of the lower garden bed. While I was finishing just before din Sl appeared with two notes to read one from Miss Hitchcock and one from Waldo both very flattering. They are now longing to have McClung's letter published and I told him I had written to MC C asking him to come up. Deep but broken rest after lunch by plasterer outsid of my window but the round window is now finished all but the iron bars.   D. came at 4.30 while I was on the upper terrace with my feet in the pooo which had just been filled and looked deliciously pure.. Perfe ct aft sun and too lovely on the upper terrace.   Jolly to have D come and we were still up there when Leila Mechlin was announced. So glad to see her Anna brought tea and when May and D went off we had quite a talk about A.P.A. She understands perfectly Mc Veagh's impossibilities and aggravating ways. Wish I could have whem meet. While we were dining on the west terrace Jack sudden ly appeared . Too delicious to see him and he was so dear and affectionate and very beautiful. We were very gay He went up on upper terrace for a while but of course had to go back soon to A. I was walking part way back with him when we met the Halls who were coming here. Nice visit from them talking music . . on ly D's allusions are always on the side of small casual bits of gossip about it purely personal When I was aking L M to the gate the Halls and Miss Davison and Miss Hawley came along . All peacefu till one of the Siamese appeared with a villanous white English bull terrier . who flew at poor little Micky and nearly destroyed him. I rushed for pepp er and in the mean time Mr H had beaten them apart. and the Siamese livid and angry was holding his beast by the collar and Mr H was threatening him with police.
192,Sat July 13,07/1912,July,Exquisite day . I did not sleep well on the little bed in the guest room .. I ha d my break out in the upper terrace and the others down on the lower Only while they sat in peace and beauty I had to s spen a half hour with B in the kitchen ordering meal for two days. We were all up in the upper terrace when Jack cam smiling up .. enchanting boy .. I read a little to from Deirdre of the Sorrows sent by A Ludington . and he and D and I walked out to the Breakwater. Exquisite. and he undressed and went in looking like a golden god. (running drawers ) . He came in with us and we found note from A.P.A asking D to com to lunch.. The Meyer girls and Helen Taft were coming I did not care a hoot for going to this party .. and was glad to have D go .. We three then went in to bathe and while J was dressing in the studio Sl came looking from him and he told us afterwards was very angry and told him that if he wanted to help A he would come at once and play tennis with him I did not see Sl nor all day. D came back at four with much to tell . It was quite a large party and Sh had been put at one of the ends which I did not like but she did not seem to know.. The Pugh girls came in auto two nice well dressed pretty girls and asked us to lunch with them on Tue As they invited ys to go to see the Spaulding garden I accepted. We then rushed off to the Davisons where we found A.P.A calling and Mr Hall. I felt very stiff and prickly .. Which I fegretted and tried not to show. We soon left leaving them there. and on the way home Jack sprang out and came home with us. Would come in to sup though I tried not to have him as I knew A wanted him and would not like it but he would stay and we had it outside and were very gay. Could not make him go and went to the studio. Where I had idea to get him over there. Proposed our all g ing to R.R. which we did. seing Sl on way at Halls dining. We made a rush in the R.R and it was well . They were sitting in the daVk. A at once began apologizing for not having asked me evidently thinking I was vexed at THAT . I rushed to him prote es ing . and then we sat down and he talked long and confidentially about his affairs.. A new phase Bo see him anxious.. It was poignant .and cut me to the heart . I could not bear it any more than I could to see Harry D in such a new position. 0 it MUST come out right for him . He deserves it for such a bold righteous protest. He played for us on the orchestrelle after.
193,Sun July 14,07/1912,July,Overcast and some rain very nice. We were sitting ar around I upstairs when Sl and A.P.A. came ' To our t telephone.. Very jolly . A spent a long time in ou pantry scolding the manager. and examining my arr- angements .. so funny. After flaneing a while in the living room I took him up to see the new room and othere things.. Appreciative as ever. and observing everything. He going to the Storrows. Sl came after bringing books an attention to Do. amusing visit after. We bathed ..and the rest of the day was rather bor ing for D. We only slept and fooled about . Went to the Halls but they were gone. Sl came in eve and we all revived old tales and experiences. What would we dod without him.
194,Mon July 15,07/1912,July,St Swithin's day. Lovely day . I break out in upper terrace. After stretching canvas for a pic in the living room D. to pose did not get father than the prelim inaries.  Bathed and in aft late took carriage a abd went down to call on E Sparhawk Jones and Mrs. Locke . The L's out and we found E.S Js moth er a frail interesting woman . E ill with used up heart . What a shame it is that the gifted ones should give out first. Were joined by Sl at gate returning. and went in there for a while . Went in to Halls to enquire for the cat . Very tragic and Mrs H wants me to have the collection of cats in my jungle trapped and chloroformed . A terrible undertaking.for me. Sl came in again in eve. He goes to MarBha's Vineyard tomorow. Lovely day. I had break on upper terrace. The other in e c. After the usual running around I cut and stretched a canvas for a pic of the east window in the living room. D posing. Did not get farther than the stretching. Found the sketch I did of Tota Corrigan baby and shall send it to her.
195,Tues July 16,07/1912,July,Looked showery but there was emough sun to paint and D posed. Pretty warm . The Pugh's sent the car at one and we went there . Very nice ugly place.. but fine girls . To Spaulding garden after Not quite so wonderful as first time as the roses were fading. My rambler is rampant .. Quite a turn in the car after Were conte ted not to do anything in eve. A came in at supper time and read us his new
196,Wed July 17,07/1912,July,statement. D posed . I do not do this well. She gets frequent letters from Ter. I wonder. Mr and Mrs Bennett came early in aft from yacht Veryvdelightful and we had tea in the upper loggia. Were in the garden when Mrs Hall came ..I in there with D and was having a little music when Anna came to say that Miss Blake and Mrs Locke had come . MisPugh and interesting deaf young man were in the garden I had no time to dress and had to have supper as I was Mrs Locke very agreeable . Sat in upper loggia.
197,Thurs July 18,07/1912,July,Fog and rain . I went to Gloucester with May in a wagon and did many important things. Bank etc. Stopped to see Leila Mechlin on way home and borrow edxunbrella.   Saw her in her cunning little place. Glad to rest in aft. But not much fun for D.    We were fussing over photos in eve when Sl came full of his trip to Martha's vineyard. A wide place real and remote sheep and quiet. No talk of A.P.A.
198,Sun July 21,07/1912,July,Some rain and very anxious for fear T.C shoud not co come .. Sl appeared very smoothlh and invited us all to lunch there with Mrs Gardner the Halls ..   Our feed all planned and do not like this way but for D. and general diplomacy accepted. T.C arrived at abou eleven . So glad and he very cheerful bearing clock and nice box of cigarettes.   I showe him all the new things . So satisfactory and we all dressed up and went in to Sl in the rain Oot in the loggia and a very gay time . I at small table with Mrs H T.C. and Bob Bacon who had turned up I ver agy.. and thoroughly good time . D one side of A which was good and she adored the ti time we had . Likes festivities immensely and I was very glad of this.  I had some talk with Mrs G. Much admiring my blk satin wrap. Came back in Halls motor. and then to rest after I had written some to let off steam. Talk by fire in gloaming with T.C. and more after sup . Then in to the Halls wher she played for us Uncle Wills old ballade and a song with ou w's I could hardly bear it and realized how dead and relaxed I have been lately.
199,Mon July 22,07/1912,July,"Perfect morning after the rain and we were deligyted to get off . I ran in to the A's first and me Sl and A by gate They walked home with me and we all gathered by front door . A asked me if I was going 'Just you two,' Hm..    It was a beautiful run and very comfy for the one beside T.C. Ter ible in back. We took turns..   Got just in time for lunch and how good . The place charming as ever iof course. After lunch out in the c car again to shop and see old houses . Very jolly.    I bought latches and chair and a old parasol to send to Helena.  To the B Wendells but did not see Jack was ther nice boy and I had some talk with him after sup on Abbott Thayers theories. Moonlight afte sitting out and walking around . Exquisite place . Went around the queer dark places before going to bed and it felt comfy after such a day."
200,Fri July 19,07/1912,July,  Not so warm but D posed ..I am very stupid about this. Was at telephone in aft in very undress when A.P.A. appeared with great roll of tapestry to ask m me to hang it in the studio..I at once acquiesced and arranged for it to go over the big one at end the only place. He spoke of sending telegram to Mc Clung and I begged him to and we composed it.   'Sit tight and we will win out' Great discussion and we decided that I should go to G and send it in t their carx. I rushed to dress and then to the car which I found aBytheir door.  Off alone to G and funny time sending it.  Was suspected of an elopement I know . Had hardly got bck when he and Sl appeared had expected to go with me . Great talk in studio and I told him about the invitation to paint Sereno E Paine.  He delighted with this. Leila Mechlin and cos came to tea..
201,Sat July 20,07/1912,July,Dark and threatening and D did not pose.  I do not crave to work at all and feel very depleted and as if I had nothing to give.   Late in aft we went down to the Davisons and saw their garden . Only Miss D and some cousins. Met Mrs Greenough coming back and she spoke again of my doing Mr G in exchange for theland . It comes DEAR to have to do him. Called up the Halls and found out deveral things. That they are to lunch with Sl tomorrow.
202,Tues July 23,07/1912,July,Portsmoth Nice to wake up in white and blue room and to go to sleep again. Hardly ready at 8.30 breakfast ho Temp an son not down .. lovely morning .. and such good break. real cream. T has the real idea of rest at least for his guests. After sitting about we went out in the launch throgh yeasty waves rushing .. I hate dit tho we saw interesting things. Two big battle ships etc. .. and Tarbells studio window.   More chatting when we got back in the garden and then a short call on his mother a distinguished ole lady. We had to hurry through lunch and off in the car .. to Salen together and then we parted and D and I did some rather weary sightseeing witches house etc. .. Very weary in train and glad of drive home Letters. A good one from Etta enclosing a sad little note from Uncle Jose. to her.   Very tired in eve and nothing happened. Sl in Narragansett. .. No sign of A. T does not thingk we of the affair .. for A.
203,Wed July 24,07/1912,July,Exquisite day and I breaked with the girls as it was D's last morning here. Mr Garland came and they put up small balcony cnarming.. but made a turgid morning... It was nice to get D off with the Halls. in their auto. trunk and all. Had little rest and called up A to see if he remembered his engagement with me. for the mouth. Yes and he came at 2.15 before I was quite ready. Had had good reports from Mc Clung and much to tell. How good to have him so communicative. Lay on sofa and made himself at home. Was pleased to hear about the letter from Dalzell about my doing Senator Paine. and wants me to have him here. Was called off by Hammond absurd proposals. came back and I did more. but he had to go away as Miss R Horner came. Pleasant visit from her Most agreeable and some talk of old times but not much.   sup out and sitting in moonlight but not very brillant.
204,Thurs July 25,07/1912,July,Feltyhorrid when I woke. I dont like these times much.  Had break with May in e.c. and did some vine training and other small things. Letter from Sereno E. Paine very flatteur.  Also from Anne Lewis She is not able to come and I am much disappointed. I need her affection. I worked on plaster around round window Very hard work but I improved it. No painter till aft when he did green door and little white.   I also painted my new shelves gold in studio. fixing things for J.W. Tel from him saying he would surely come to morrow. I have engaged A for Sat night. In eve M and I to the Halls for a while Mr and Mrs alone and I could not make very good arrangement for their dining here. Last night went in to the A's after sup and took paper containing bit of great int to A. He read to us notes and clippings. and the vis was int by the Patch fam.
205,Fri July 26,07/1912,July,A great deal of fussing around getting ready for J.W. As I was out in front A.P.A came up the walk with en and clipping for my perusal  Told him about having heard from Sereno E Payne and he approved and wants to have him come.   Lovely weather and everything looking lovely. Two tels from J.W. but no word of what train so I expected and was ready long before he came at 6.30. Young Mrs Sleeper just before and A.P.A. to show Gloucester paper conraining interview with me. Ridiculous. Was here when J.W. arrived. so glad to see him coming up the pzth.  All up to the loggia for tea.. A.P.A staying and very gay. Quite fun to have him hear at the advent.   Din alone and then as moon was coming up showed the place. took him later to the pool in the wood and he was delighted with the mystery and all. Din out and very good B does her best. Sat up quite late in the upper loggia and walking on pier.
206,Sat July 27,07/1912,July,Lovely day what a comfort. Break in the e.c and J.W. looking so fresh and happy. Fuss of course and long season in the kitchen with B about all the meals.   Got Sl and asked him for coffee tonight and lunch on Sunday.  Got off finally to walk and took him through the Rouse woods to sea and the rock of Morning joy. He was charmed and we had lovely season on the rock and good talk. Back to bathe Wonderful crisp water and he enjoyed it.   Good rest after lunch and invited Greenoughs to tea at five Mr Pickering with. Came late and Leila Mechlin. Made me late dressing and was not ready when they all came. Table set in living room for the first time a good plan.  Looked very pretty and we were very gay. though J.W. did not show off  as much as I wanted. Up to loggia and moonlight for coffee and Sl there. waiting. He and A sat apart with Mrs Hall and did not speak with Wilkie.   A propose our singing 'Come and I will sing you' which we did. he holding itwith me.   Then down to the studio where Mrs Hall played a lot for us. A lying on the bearskin and Sl near his feet  No attention that I coud see to J.W.   After they left he and I talked long in the e.c moon streaming in. Nice letter from Gano Dunn.
207,Sun July 28,07/1912,July,Another lovely day .. but I felt a little worried because nothing new to do for J.W.  Finally decided to get auto and go to the 'Hut' in the aft Did and felt satisfied. Was sitting up in the sunin the Upper loggia when Mr Fabyan came with Eleanor.   Delightful visit and J.W. and he liked each other.   Have promised to go to Buzzards Bay on Tues.   Bath and Sl to lunch Very charming. and went off well. To his house after but J.W. did not like much.   Did no go in to R.R. as A was said to be going out. Sory for this.  At 4.45 off in pretty good car  J.W. May and I. nice run and delightful yo show him tyat place which I want more than ever. Back at 6.30 and sup by ourselves.. Upperloggia aft and cloudy moon rather chill. Talked late with J.W.
208,Mon July 30,07/1912,July,Still good weather and we three had break in e.c. J.W. left soon after .. looking quite regretful I so glad to have had him even if.. I must be a different being from what I ever have been before. I must accept this. He is a real friend.   Deane came and I was scared for fear of something about the road. Th mas had given him orders to take down my sign.. Woo. I rebelled . Consulted Mr Greenough and spent much time eriting letter. Rain came and I did lots of writitng ..Nothing much else..   A.P.A no where in sight. Reading Titanic story at rest.. Dark and May and I sup alone. was writing when Sl came. telling ofNarragansett. and J Thomas. who may come here. He is going with us tomorrow.
209,Tues July 31,07/1912,July,Thought rain and cold but it turned out lovely. Sl wenB early but May and I at 10.16. Felt very gay Rather hot in B. but not bad and I did all errands Joined Sl and Mr F at the Touraine for lunch . Much fun and holiday feeing. Off in car after long beautiful run down. Both very flatteur to me.   We went first to Mr F's sister Mrs Thomas who is in the Joseph Jefferson house. Very ugly but full of his paintings and many associations. Thought of dear R.W.G. and all who must have been there.   Tea there and then through the woods to the Neck where Mr F's placcis. Was charmed with it .. Lonely still waters and exqiusite cedars and pines everywhere House low spanish in style around a court.   Charming two roomed aprtment for May and me. and so delightful to have only we four.   Long walk over the place full of romance and mystery and then a wonderful dinner and talk after .. Low moon the boathouse. Such beauty.   Good sleep though some wakeful fof course. Buzards Bay .. July 31 . Wed. Some rain but clearing and very mild. We had wonderful breaks in our rooms. Such cream .. Then more walking around with Mr F and Sl and talking over touches to be given to the wonderful mosshung pool. Sl wanted to go to Boston Durbar etc but Mr F wanted to take us around more through the wood in the car and to Plymouth. Which we did . Great view at Sagamore. and lunch at Plymouth after visiting troutfarm. Off again and to B. where we parted with Mr F but he gave us the car and I did arrands and the tailor and we picked up Sl and came all the way in the car. 100 miles about in all that day. Very tired Dont want one of m own .. but it was charming. .. I often pinch myself to wonder why. Among other mail note from J.W. from Boston. M and I collapse. afterv sup. and were glad there was nothing more.
210,Thurs August 1,08/1912,August,Was painting bookshelves when Cecil turned up .. So glad to see. Looking guant but not ill.   Sl called up asking me to come to sup .. the Ladds A. Blake was coming and I did not want to but he insisted and she came early and we had a little visit before going in.  A.P.A there and Dr and Mrs L I do not take much to her and dont like  her tone but we were quite gay. Went in to R.R. after looking at medals and she invited me for Sunday. Did not want to but had to accept. .. Back feeling rather glum.
211,Fri August 2,08/1912,August,Horrid to have to go to B for my fitting. Jim teled from Bodton Had been taking Kitty to N.E. He came out to see us but I was afflicted that I had to missso much. C.and K and he went in the R car to station which was nice and I did it all as easily as I could. Pretty successful Pong coat and back in 5 train. Sat for a while in the Pub Garden by Pond and was accosted by sort of chauffeur who sat down by me and presently asked me if I was Mrs. Webb.    Back very tired but on way out met A.P.A who jumped into the carriage and asked me if I was going to the meeting for G day that eve. Persuaded meand I had hasty sup and went with him and Mr Patch in his car. Great fun. We were both asked to speak and were cheered. lustily. Were the only summer people there. Old Mr Soames asked for three cheers for Miss Beaux. Splendid sailor boy from the Dolphin also spoke. Best time in long and A appeared so well and so public spirited. Fine run home. and in good spirits.
212,Sat August 3,08/1912,August,"The Greenougs came and I began drawing . Did not ta take long to arrange and got on well Felt good to be at work again . Mrs G reading 'Stein' Wish I could give book to A.P.A. Mr G stayed long after and we hunted for boundaries Was hardly over rest when A Blake came and then Miss Hawley and Miss Davison.  Place looked lovely and perfect light . They very appreciative, and consolin Sl in eve."
213,Sun August 4,08/1912,August,Dear Cousin Julia's birthday.  Lovely day . Went first thing in to R.R. to see Mrs A . Not been there for long . A upstairs and was having a talk with Mrs when of course Sl slipped in .. Mrs A says they have to talk in whispers because they never know when he is in the house. He ought to know better but who will tell him. .. He came down and went out wity Sl to tennis.. Mrs A told me much but I knew myself . He is quiet and cheerful . I believe is controlling himself and determined.. tho of course glad of a little peace.. but always thinking.. and in deep hours coming to conclusions.. tho throwing it off a good deal of the time. I visited my land and found horrors of trespassing then back to write much tho Sl called up to ask to go to walk.  Anne B and Dihon and Miss Mechlin to lunch and much fun .. .. Some rest after . and C& K later . He to show his things. improvement always. Mrs Watson from Halls and three autos offered me to go to Ladds. .. Went with the Halls Sl and Mrs W. May too.  Something awful the matter there Taste or something lacking. Liked her better than before but there is too much selfconsciousness I guess. Things mawkish and I had to perjure my self alas. Quite fun and they brought us back in car. Nice even run.
214,Mon August 5,08/1912,August,Sunny day and worked on living room pic. May too. Kept atytill quite late and was hardly ready for Miss Irwin and Mrs Tucker to lunch. Also while we were at it at about eleven . Mr Pape and C Rand Kennedy came .. Extraordinary man . Up in  terrace ho house and great goins on .. He wants to read a chapter from Revelations at the show at Hammonds on the 23. A howl against the great and luxurious. Mrs H wont lat him . Insists on reading the blind man .. Said he and God were writing a play in the Catskills . but he is not irreverent and quite in earnest. Long hair and very youthful curving face. Miss I was charming so nice to have her. Was just arousing from my rest when A.P.A. and Sl came .. Went right down to st to see Mr G.'s .. and A was as nice as he always s now . and to me too muc too touching . How far he is from wishing to be that Looked at his to aand he is pose for drawing too. Was disappointed that I had not asked him to se Miss Irwin and I proposed going over there tomorrow. Sl in eve ..I very tired..
215,Tues August 6,08/1912,August,Were just up from break in the e.c and I out in the sun when A.P.A. appeared to bring cutting and say he he would go in aft . I teled to ask if she would be i in and he waited .. So dear and gentle.. looking at mags I yad occasion to speakof Mrs L. and could expre some of my views without seeming malicious. Painting again on window.. Three nice books from dear J.W. and another letter. G At 4.30 A appeared I in fine togs. I had called up to ask if we could take May . Sl away Was sorry had done this . but we did well The Loring place a wonder of oldtime real beauty and such kind people . Miss I very glad to monopolize A and this suited him too. STayed long and he could talk politics with her. Late to din and quiet in eve. Monday aft As A. and Sl were leaving found Misses Davison and Hawley in road . Walked down with them  Their garden charming  . On way back Halls and I privately exchanged views on Ladd and aggredperfectly only they are more positive than I . Late to sup. Sl in eve.
216,Wed August 7,08/1912,August,Decided to begin Mr G bigger and Natale made new stretcher and got canvas on in a jiffy. all ready at 9.30 Pretty good morning .. Mrs G still reading Stein a revelation to me. Went at 12 and I was coming when A. appeared . wanting to show clipping ab ut Roos. Looked at pic and we went to pool . Too dear and gentle. After rest I down in carr to see Mrs Locke .. Anne there and went up on moor to see her new land. Tea after aon her sweet little porch Mrs Sparhawk Jones . Lovely creature. Back with Annie part way and the A's auto picked me up and Miss Hawley. Caught up with A and Sl. No sign of him in eve .
217,Thurs August 8,08/1912,August,"Got ready to go to Andover and at 10,30 the car arrived and nice girl to go over with me. Lovely day but seemed a good deal of going and there is no doubt that I cannot do it. Beautiful last part of way through Boxton Topsfield and parts I did not know . Uninteresting house under b  ig trees and fine old lady Mrs Ripley welcoming. Reminded me of Cousin Julia. Saw MabelBacons child but not her. norMr Ripley . looked at dresses and proposed coming over here. Dont feel sure that this is a good thing. Trip back alone with chauffeur but seemed shorter. Terribly tired though . and was resting when A came to leave clipping about Armageddon and Roosevelt. Did not see only shouted to. Mechlin called up that she wanted to come down after sup with Howard Walker who was ther . Was anxious to go in to R. R and had to wait about for them. Came about eight. Took H.W about the place with lantern. FVery app of course. No Sl . I think he must be breaking the fall before Miss S comes so as not to seem sudden....... Sent tel to H Mc Carter asking him to come with Pennell."
218,Fri August 9,08/1912,August,Very poor day and very tired. all day after trip. Certainly cannot go over there for it and am afraid they will fix for her to come here. Not prepared for this. No sign of Sl yet . A. called up and a to lunch tomorrow with S Weldon and wf . Did not ver
219,Sat August 10,08/1912,August,John and reading by Mrs.Getting on. but of course don't care for it .. In eve Sl came in and I in a good deal of floating dishabille . Were looking at things when Halls came with int musician Densmore. Fixed eye at once .. so funny and couldn't help liking Soon went in ther and D played and the negro butler sang his comps Int er sting ... Blake 'Little lamb. Sl too and I told of my little tune to Baby's Ep. by Swinburne. Densmpre at once took it up and we arranged to have him come over the next day .. In af came Miss Curtis with Karharine Pyle .. Much impresse with her and asked for next day. Very int day.
220,Sun August 11,08/1912,August,At eleven 30 Densmore . What an experience.. Never such working over my tune all morn . I bounding about with glee . He ditto. till one. Not finished but what a feeling it gave me to really origin ate music. He drank up my ideas. like mad and it was an unforgettablr experience. Rest of course and at 4.30 Miss Curtis with Mis K Pyle and tw others. Soon went to Sls and found mess old ladies and bore ing necessity . Had to brin over here and was almost dead when Sl brought back Miss P. He and A.P.A to din and rather slow after as I could not get the Halls.
221,Mon August 12,08/1912,August,Pretty good morn which I wanted her to see and then over to R.R. where A was so welcoming and sweet . showed us all and was much pleased by her app. Walked back with us and she soon went.. I to work on John. Was wnated to go to picnic with Ladds to Coffs beach but was not up to it. Miss Koon in aft to see about boarding places for Ripley . Saw in my room . also Annie B to sup very resting.
222,Tues August 13,08/1912,August,No John and I worked in liv room on the D picture . Awful struggle. and not getting far . Was finishing when Mr TaggarB artist called could not see but a minute but arr for another time.   Was in fearful mess when Sl and friend Alex Carver a arrived Sl wanting him to bathe with me.   Very pleasing fellow I remember his parents of course He acting as if I was a girl . I got into nifty b suit and we sported in good water. and also sat a while. Tita C to lunch so I made ex to leave.   Nothing much the rest.
223,Wed August 14,08/1912,August,"Gloucester Day but I feared I should not get off no invite coming from Andrews as I hoped. Had John zand Alex Carver came to bathe .. Looked stormy but hydro 7lane flew from Marble head. like a gret June bug. Called up Sl and he and I and Carver we went in wagon . Quite jolly. all sorts of shows   A.P.A there with his neices and father Kept , meting. Back at six and dressed for Halls dinner The Oakes Ames he brother . Queer but intelligent silent man . Much fun though and music after . Much talk about my tune and arranging to finishit with Densmore. A lso wants verses writ long ago . 'Peacock and Dove. ' Delightful eve and they came over to see he terrace going out b way of front. Mr Ames said some of the bushes were ilex."
224,Thurs August 15,08/1912,August,  John .. in aft Mr Taggart and were having nice talk in studio when Mr and Mrs Yates with Mr Berckhead .. So delighted to see him . Up to terrace house and good pleasant converse with them making Mr B promise to come for a night. Later rest and getting ready to dine with Amory Elliots. Off in new evening dress with Sl and A.P.A in his car . Foggy but fun going .. Halls there too and Densmore . Mr C Cabot . pleasant house and most attentive host by whom I sat A by hostess. opposite . long but good din and after suff talk witht the women. Then music room and Densmore playing . Halls telling of my son and poem Sl disdainfuful and unbelieveing.A smiling. Densmore played till I DANCED....much applauded. . A teasing bu nice on way home. A hard run . Quite jolly .. Dens I pro promised to see next day.
225,Fri August 16,08/1912,August,"Working on John all these days so anxious to finish At four ready for Dens who came bringing song and we worked fo an hour .. he a little diff and did not quite understand. Gave him the two verses. Peacock and dove. Birckhead came and I could not see at first. .. Too nice to have him, and turned out to be momentous. for on ou way back from walk all through Raymonds woods and as we were talking of A.P.A and I was trying to explain the great contention he asked me what I would choose for him now and I said I would like to see him President of one of the big colleges. He paused and said 'They are looking for a P for Johns Hopkins How would A do.' I shouted of course and then it all began. A came to din and I was not up to par but he appreciated and enjoyed B and all went well Afterwards B and I thrashed the matter out .. and ran all around the place in the dark looking into houses and trying to find Sl who had vanished. Finally penetrated to his house and got hold of Jake who was not polite but took a note from me asking Sl to come in first thing in the morning. A was crazy for B to stay to lunch on Sst.. I met Sl on road and we concocted scheme. he and B in auto hired by me to see important man at B Rocks. teled to me to tell A and I went in there and insisted on seeing him Staggered at first and tried to make light. Got it fixe finally and he and B had it out down in the studio. He wants it adn has got the idea the main thing. But will he GO for it...... He lingered behind and I had a few good words at gate. earnest ad understanding of my part 'Maple tree and my poem about the Ice storm. B. left and I to lunch at A's and sat next H P. Warnes and wf (actor) charming. A very sweet Phil came in aft .. C and K and Sl in eve telling stories .. What a day. Of course I had no Greenoughs and Miss Ireland came remembering what day tomorrow is and bringing purple asters."
226,Sun August 18,08/1912,August,Dear Uncle Wills birthday. It rained really and it was well as it was easier to do beautiful Phil I made a not very good drawing. not much like him Too hurried. That is not time enough to select pose. He has a wonderful high head and such a tint C and K came to din and A. Blake. very jolly but they stayed till 4.30 and took Phil off with them. Sl called up to ask me to walk but I was too done. Came in eve and we had some talk. about the great matter. I wanted to go in to R.R. after din but was precvented bu L Mechlin teling that she wanted to bring the archetect H Walked. Came and showed around in dark. ...
227,Mon August 19,08/1912,August,Got up firm about going in to R.R. as I did not want to g off to Dublin without seeing Mrs A. at least. Slipped off. Found her in and .. No I did none of this. Had John and practically finished it .. Telegrapghed to Thayers that I was coming tomorrow. Phil stayeing over earnewtly presuaded by us all. he Kath and May and I at tea in upper loggia when Miss Sinkler came .. Rather pleasant visit and nothing disaggreable.  Kath stayed to sup and I to R.R. right after .. seeing only Mrs A. A upstairs and did not come down. even when called. I soon found that Mrs A knew nothing of the J.H. affair and I did not let on at all. This was why he did no come down fearing I would say something.
228,Tues August 20,08/1912,August,Fussed about getting ready to leave. Got Phil off early and I went at I.19 Sl teled to go with me and I picked him up at his door. Good talk till Mancjester about the J.H. but nothing new. Did some shopping in B and went to Bayleys to order frame for Mr G. Very weary and tiresome trip to D. No one at station and very depressing. Took general bus and finally got there at about 8.15 fearing I was not expected. But I WAS. what a welcome from A.T. and Gladys running afound getting my supper No sevvant but a general man.  TALK right off and they both escorted me to my room.. pretty cojf only W.C. outdoors.. lantern showing way dow down wood path.. I slept oe rather did not on upper verandah under a rag of mosquito net looking up at monadnock. Bed terribly bony and pretty rough night all but wondrous air. and stars.. .
229,Wed August 21,08/1912,August,Mr T and Gladys getting break and making coffee for me . Break on verandah . Mrs T appeared . Fery radiating oldish delicate woman who sleeps in tent in the woods. They all disappear at night like wild things. Much talk and soon A T and I off to walk. Had to turn back from the way weregoing to high place because joined by two women so we trailed through swamps not seeing out much and all the time talking He saying wonderful things and of course aggreeing m most of the time. Not back till dinner time and I very tired and glad to spend the afternoon on b bed in my room which was very comf and wher I slept that night. Lots more talk i the eve. and being shown birds butterflies and bed very early. Tried to get the Greens.
